,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
20050203,30878.129,29057.461,28105.058,27810.851,28026.78,29452.533,34506.775,41472.34,47355.236,49439.509,49693.956,49336.584,45574.524,45063.071,46454.438,47067.17,47389.218,48246.184,49151.81,47209.1,44477.074,41177.026,37320.225,33951.874
20050204,30069.29,28372.693,27580.075,27315.292,27550.514,28892.799,33586.628,40399.969,46034.466,48108.242,48196.919,47913.282,44359.48,43578.729,44869.839,45424.245,45725.202,47046.608,48280.517,46156.503,43429.348,40149.931,36363.861,33111.491
20050205,30471.321,28722.759,27690.581,27188.682,27093.935,27623.233,30053.447,34164.944,38405.128,40746.688,40962.417,39898.951,36896.164,34590.883,33923.455,33912.933,34378.246,36932.605,40050.085,39662.224,37496.235,35000.431,32502.928,30012.891
20050206,27024.423,25355.552,24298.153,23647.332,23459.625,23736.338,24601.698,25514.405,27759.529,30580.241,32145.972,32735.616,31933.618,30126.104,29588.151,29346.833,29424.332,31554.792,35029.614,35548.592,34984.088,33267.884,31022.721,28382.898
20050207,25336.749,24024.141,23436.258,23288.731,23685.85,25644.09,31430.632,38678.794,44862.359,46795.496,46760.085,46241.608,42863.767,42835.453,44333.69,44721.608,45061.526,46406.434,47553.38,45659.546,43100.676,40019.239,35984.684,32593.927
20050208,29604.94,27969.413,27141.113,26955.982,27202.481,28754.665,33395.852,40429.082,46056.686,48088.802,48209.985,47808.498,44492.347,44191.302,45470.526,46194.429,46406.905,47082.953,47961.779,46149.64,43534.62,40353.566,36450.506,32847.447
20050209,29979.767,28327.34,27538.789,27276.447,27480.379,28970.565,33786.258,40568.585,46135.539,48299.442,48423.573,47978.701,44531.277,43836.851,45123.789,45770.583,46230.484,47369.404,48582.679,46665.988,43892.134,40711.855,36712.69,33147.704
20050210,30362.693,29003.87,28114.998,27872.852,28080.51,29562.235,34422.759,41314.937,47106.105,49429.326,49634.721,49052.128,45397.084,44781.841,46112.778,46594.834,47042.382,48318.69,49387.33,47234.554,44528.425,41379.344,37363.901,33978.883
20050211,30267.309,28842.999,27990.977,27692.368,27887.83,29365.04,34139.725,40871.177,46104.206,48214.497,48294.588,47877.341,44335.748,43649.286,44902.651,45451.79,46278.313,47313.568,48541.702,46580.513,43824.75,40621.323,36519.088,32848.296
20050212,29693.022,28148.877,27150.751,26676.027,26517.412,27056.244,29438.639,33521.504,37467.643,39744.637,39785.953,38675.257,35957.226,33670.388,33041.175,33110.48,33680.625,35835.25,38753.405,38588.583,36506.483,34084.483,31553.979,28838.242
20050213,25623.494,24454.028,23296.564,22839.779,22752.477,22851.199,23519.621,24436.622,26584.059,29223.025,30592.914,30916.739,30032.063,28136.032,27468.25,27310.423,27140.355,29446.368,33214.276,34137.407,33616.175,32088.056,29800.874,26866.878
20050214,25693.406,24556.428,23904.704,23835.588,24291.013,26290.862,32209.381,39529.742,45823.74,47628.477,47573.489,47073.784,43594.841,43528.983,44921.111,45296.703,45609.83,46781.636,48082.202,46221.776,43659.982,40441.519,36433.855,33146.898
20050215,30016.304,28438.941,27539.489,27301.354,27552.024,29062.131,34130.519,40975.505,46705.075,48746.6,48765.309,48223.961,44767.93,44181.028,45583.46,46254.848,46655.835,47613.066,48789.331,46885.706,44139.827,40870.396,36737.796,33161.168
20050216,30290.336,28734.666,27887.198,27655.654,27864.633,29376.112,34418.711,41470.923,47179.286,49211.623,49265.461,48764.839,45244.675,44838.739,46159.392,46664.182,47109.909,47904.404,48972.548,47057.27,44276.432,40970.035,36878.239,33437.002
20050217,30417.857,28787.436,27936.337,27740.7,27933.327,29345.806,34288.961,41248.186,47058.862,49154.268,49319.819,48877.253,45288.661,44773.92,46006.26,46567,47086.106,47714.89,48681.932,46813.365,44170.353,40997.196,36874.185,33379.264
20050218,30726,29109.754,28254.555,27994.583,28171.764,29693.022,34523.674,41238.18,46949.998,48962.129,48977.019,48497.555,45096.826,44527.569,45853.592,46429.767,46846.944,47612.762,48814.889,46983.24,44173.814,40944.259,36871.917,33403.744
20050219,30369.736,28599.933,27508.256,27018.318,26811.339,27374.113,29785.63,33881.955,37767.822,39963.681,40332.269,39402.105,36508.768,34253.946,33678.263,33722.613,34223.206,36246.004,39206.257,39102.708,36931.225,34551.037,32008.527,29415.34
20050220,27087.519,25420.248,24294.402,23746.404,23600.06,23847.252,24649.149,25501.975,27734.857,30410.405,31796.691,32326.079,31502.689,29680.815,29157.63,28932.096,28936.067,30924.276,34459.425,35092.192,34529.827,33027.411,30879.501,28197.216
